isbn,title,author,description,price,stockQuantity,category,imageUrl
"9781098165413","Modern Concurrency in Java","A N M Bazlur Rahman","A Deep Dive into Virtual Threads, Structured Concurrency, and Scoped Values",44.99,30,Programming,"/images/modern-concurrency.png"
"9781633435025","Build Smart Java Application with LLMs","A N M Bazlur Rahman and Syed M Shaaf","A Practical Guide for Java Developers",44.99,30,Programming,"/images/build-smart-app-with-java-and-llm.jpeg"
"1933988347","EJB 3 in Action","Reza Rahman, Michael Remijan, Debu Panda and Ryan Cuprak","Second Edition",50.99,20,"Jakarta EE","/images/ejb3-in-action.png"
"9798868802935","Helidon Revealed","Michael P. Redlich","A Practical Guide to Oracle's Microservices Framework",59.99,20,"Jakarta EE","/images/helidon-revealed.png"
"9780134685991","Effective Java","Joshua Bloch","The definitive guide to Java platform best practices",49.99,50,Programming,"/images/effective-java.png"
"9780596009205","Head First Design Patterns","Eric Freeman","A brain-friendly guide to design patterns",44.99,30,Programming,"/images/head-first.png"
"9781484277717","Beginning Jakarta EE Web Development","Anghel Leonard","Build robust and scalable web applications using Jakarta EE specifications.",39.99,20,"Jakarta EE","/images/beginning-jakarta-ee.png"
"9780132350884","Clean Code: A Handbook of Agile Software Craftsmanship","Robert C. Martin","Even bad code can function. But if code isn't clean, it can bring a development organization to its knees.",45.99,55,"Software Design","/images/default.png"
"9780201633610","Design Patterns: Elements of Reusable Object-Oriented Software","Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides","Elements of Reusable Object-Oriented Software",52.50,40,"Software Design","/images/default1.png"
"9780137081073","The Clean Coder: A Code of Conduct for Professional Programmers","Robert C. Martin","A Code of Conduct for Professional Programmers",48.99,60,"Software Design","/images/default2.png"
"9781491950357","Building Microservices","Sam Newman","Building Microservices: Designing Fine-Grained Systems",55.00,35,"Software Architecture","/images/default3.png"
"9780134757599","Refactoring: Improving the Design of Existing Code","Martin Fowler","Refactoring: Improving the Design of Existing Code",42.99,70,"Software Design","/images/default.png"
"9780201616224","The Pragmatic Programmer: Your Journey To Mastery","Andy Hunt, David Thomas","The Making of a Software Engineer",38.99,50,"Software Development","/images/default1.png"
"9780321125217","Domain-Driven Design: Tackling Complexity in the Heart of Software","Eric Evans","Tackling Complexity in the Heart of Software",53.95,45,"Software Design","/images/default2.png"
"9780321127426","Patterns of Enterprise Application Architecture","Martin Fowler","Patterns of Enterprise Application Architecture",47.80,30,"Software Architecture","/images/default3.png"
"9780134052502","The Software Craftsman: Professionalism, Pragmatism, Pride","Sandro Mancuso","The Software Craftsman",49.99,50,"Software Development","/images/default.png"
"9780134494166","Clean Architecture: A Craftsman's Guide to Software Structure and Design","Robert C. Martin","Clean Architecture: A Craftsman's Guide to Software Structure and Design",46.50,65,"Software Architecture","/images/default1.png"
"9781617299377","Spring in Action, 6th Edition","Craig Walls","Covers Spring Boot 3, Core Framework 6, and More",59.99,75,Java,"/images/default2.png"
"9781484272361","Spring Boot: Up and Running","Mark Heckler","Simplifying Application Development with Spring Boot",50.00,40,Java,"/images/default3.png"
"9780321349606","Java Concurrency in Practice","Brian Goetz, Tim Peierls, Joshua Bloch, Joseph Bowbeer, David Holmes, Doug Lea","Concurrency in Practice",44.95,30,Java,"/images/default.png"
"9781449394711","Cloud Native Java: Designing Resilient Systems with Spring Boot, Spring Cloud, and Cloud Foundry","Josh Long, Kenny Bastani","Build and Deploy Cloud-Native Applications",54.99,50,Java,"/images/default1.png"
"9781617297014","JUnit in Action, Third Edition","Catalin Tudose","A Comprehensive Guide to JUnit Testing",41.99,60,Java,"/images/default2.png"
"9781492086978","Quarkus Cookbook","Alex Soto Bueno, Jason Porter","An illustrative guide to building cloud-native applications with Quarkus and Kubernetes",51.99,25,Java,"/images/default3.png"
"9780134853987","Effective Python: 90 Specific Ways to Write Better Python","Brett Slatkin","Get the most out of Python's libraries and tools",48.85,35,Python,"/images/default.png"
"9781491957660","Python for Data Analysis","Wes McKinney","Python for Data Analysis, 2nd Edition",53.99,45,Python,"/images/default1.png"
"9781593279288","Python Crash Course, 2nd Edition","Eric Matthes","A Hands-On, Project-Based Introduction to Programming",39.99,80,Python,"/images/default2.png"
"9781491946008","Fluent Python: Clear, Concise, and Effective Programming","Luciano Ramalho","Concise techniques for Python developers",47.49,55,Python,"/images/default3.png"
"9781942788003","The DevOps Handbook","Gene Kim, Patrick Debois, John Willis, Jez Humble","Building and Scaling Dependable Systems",35.99,70,DevOps,"/images/default.png"
"9781491929124","Site Reliability Engineering: How Google Runs Production Systems","Betsy Beyer, Chris Jones, Jennifer Petoff, Niall Richard Murphy","How Google Runs Production Systems",40.00,60,DevOps,"/images/default1.png"
"9781492081010","Infrastructure as Code","Kief Morris","Infrastructure as Code, 2nd Edition",49.99,50,DevOps,"/images/default2.png"
"9781492044404","Docker: Up & Running","Karl Matthias, Sean P. Kane","Up and Running: Infrastructure and Applications",54.95,45,DevOps,"/images/default3.png"
"9781491978199","Kubernetes: Up and Running","Brendan Burns, Joe Beda, Kelsey Hightower","Scheduling Containers for Distributed Systems",51.99,55,Cloud,"/images/default.png"
